id,name,slug,count
132,11th Hour with Stephanie Ruhle,11th-hour,5391
3800,30 seconds to know,30-seconds-to-know,1
1190,Afternoon mojoe,afternoon-mojoe,82
3826,Al sharpton,al-sharpton,6
1547,Alex wagner tonight,alex-wagner-tonight,1689
971,Alex witt,alex-witt,111
149,Alex Witt Reports,alex-witt-reports,1691
154,Ali Velshi,ali-velshi,4183
2937,All im,all-im,1
138,All In with Chris Hayes,all-in,8563
1832,All in with chris hayes,all-in-with-chris-hayes,1054
416,Am joy,am-joy,2116
471,American voices,american-voices,1758
3900,American Voices with Alicia Menendez,american-voices-with-alicia-menendez,999
127,Ana Cabrera Reports,ana-cabrera-reports,2502
1223,Andrea mitchell,andrea-mitchell,17
390,Andrea mitchell reports,andrea-mitchell-reports,9076
623,Ayman,ayman,438
501,Ayman mohyeldin,ayman-mohyeldin,1220
3945,Ayman Mohyeldin Reports,ayman-mohyeldin-reports,43
649,Ayman peacock,ayman-peacock,79
2824,Brian tyler cohen,brian-tyler-cohen,109
618,Brian williams,brian-williams,1086
3915,Caught on Camera,caught-on-camera,1
1389,Changing america,changing-america,42
3400,Chris jansing,chris-jansing,3
5,Chris Jansing Reports,chris-jansing-reports,3294
2419,Code forward,code-forward,7
414,Craig melvin,craig-melvin,2355
3807,Craig melvin reports,craig-melvin-reports,78
521,Cross connection,cross-connection,507
2665,Daily rundown,daily-rundown,15
466,David gura,david-gura,647
3913,Deadline,deadline,1
140,Deadline: White House with Nicolle Wallace,deadline-white-house,6753
3824,Digital documentaries,digital-documentaries,3
1008,Disrupt,disrupt,458
1614,Documentaries,documentaries,612
1533,Ed show,ed-show,2
1278,First look,first-look,4
2934,For the record with greta,for-the-record-with-greta,9
574,Gibson reiser,gibson-reiser,84
1710,Greehouse,greehouse,1
1778,Greenhouse,greenhouse,29
3924,Guns,guns,1
310,Hallie jackson,hallie-jackson,1741
3891,Hallie Jackson Reports,hallie-jackson-reports,221
308,Hardball,hardball,8000
3943,Harvey Weinstein,harvey-weinstein,1
3441,Hugh hewitt,hugh-hewitt,31
3923,Immigration,immigration,3
227,Inside with Jen Psaki,inside-with-jen-psaki,590
3927,Iran,iran,1
3928,Iran Tensions,iran-tensions,4
940,Jansing and co,jansing-and-co,2527
2577,Jonathan capehart,jonathan-capehart,501
1855,Jos d az balart,jos-d-az-balart,169
539,Jose diaz balart,jose-diaz-balart,2177
3898,Jose Diaz-Balart Reports,jose-diaz-balart-reports,1252
3139,Jpse diaz balart,jpse-diaz-balart,1
3926,Justin Trudeau,justin-trudeau,1
3816,Kasie d c,kasie-d-c,5
420,Kasie dc,kasie-dc,868
2058,Kate snow,kate-snow,99
691,Katie phang,katie-phang,658
293,Katy tur,katy-tur,4997
114,Katy Tur Reports,katy-tur-reports,1850
2611,Kendis gibson,kendis-gibson,84
267,Know your value,know-your-value,460
1609,Krystal clear,krystal-clear,5
3919,Latinos,latinos,1
2901,Leguizamo does america,leguizamo-does-america,30
3938,LGBT,lgbt,1
3818,Lindsey reiser reports,lindsey-reiser-reports,4
2765,Live online,live-online,438
3821,Locked up abroad,locked-up-abroad,5
3805,Lockup,lockup,167
1061,Martin bashir,martin-bashir,3417
3808,Meet the press daily,meet-the-press-daily,286
2259,Mehdi,mehdi,2
587,Mehdi hasan,mehdi-hasan,8
3809,Mehdi hasan show,mehdi-hasan-show,2
541,Mehdi on msnbc,mehdi-on-msnbc,146
923,Melissa harris perry,melissa-harris-perry,2558
2726,Mhp,mhp,1
125,Morning Joe,morning-joe,28512
328,Morning joe first look,morning-joe-first-look,123
2541,Morning Mika,morning-mika,50
4339,MS NOW,ms-now,1164
706,MS NOW Reports,msnbc-reports,355
111,msnbc,msnbc,16027
113,MSNBC Dayside,msnbc-dayside,16690
1572,Msnbc films,msnbc-films,3
2837,Msnbc lice,msnbc-lice,1
1385,Msnbc live,msnbc-live,69
917,Msnbc live with ari melber,msnbc-live-with-ari-melber,0
3119,Msnbc live with thomas roberts,msnbc-live-with-thomas-roberts,2
520,Msnbc news,msnbc-news,614
509,Msnbc originals,msnbc-originals,184
703,Msnbc prime,msnbc-prime,167
2056,Msnbc quick cuts,msnbc-quick-cuts,1044
3819,Msnbc tv live with cenk uygur,msnbc-tv-live-with-cenk-uygur,142
2699,Msnbc web only,msnbc-web-only,11
147,MSNBC Weekend,msnbc-weekend,7268
1608,Msnbc2,msnbc2,9
387,Mtp daily,mtp-daily,5117
2888,N hayes apipe 141118,n-hayes-apipe-141118,1
3812,N now,n-now,1
